,Name,Platform,User_Scoree
553,SpaceChem,PC,8.5
554,Might & Magic: Clash of Heroes,PS3,7.9
555,Beyond Good & Evil HD,X360,8.5
556,Thimbleweed Park,PS4,7.4
557,Minecraft: Switch Edition,NS,7.2
558,Resident Evil 7: biohazard,XOne,7.6
559,Final Fantasy XII: The Zodiac Age,PS4,8.3
560,Wolfenstein II: The New Colossus,PC,6.7
561,Sonic Mania,PS4,8.4
562,Resident Evil 7: biohazard,PS4,7.8
563,PlayerUnknown's Battlegrounds,PC,4.5
564,Observer,XOne,7.6
565,Robo Recall,PC,7.6
566,West of Loathing,PC,7.7
567,Hearthstone: Whispers of the Old Gods,PC,5.4
568,Firewatch,XOne,4.3
569,BlazBlue: Chrono Phantasma Extend,PC,7.4
570,DOOM,PS4,8.3
571,Shadow Tactics: Blades of the Shogun,PC,8.4
572,SUPERHOT VR,PC,6.8
573,Pro Evolution Soccer 2017,PS4,7.4
574,F1 2016,XOne,7.8
575,Thumper,PC,7.7
576,Assault Android Cactus,PS4,6.7
577,Mortal Kombat XL,PS4,7.8
578,3D Streets of Rage II,3DS,7.4
579,Bastion,PS4,7.8
580,Destiny: The Taken King,XOne,5.2
581,Fallout 4,XOne,6.4
582,Nuclear Throne,PC,7.6
583,Super Mario Maker,WiiU,8.8
584,Divinity: Original Sin Enhanced Edition,XOne,7.7
585,Kerbal Space Program,PC,8.2
586,Divinity: Original Sin Enhanced Edition,PS4,8
587,Ori and the Blind Forest,XOne,8.6
588,Starcraft II: Legacy of the Void,PC,8.3
589,The Talos Principle,PS4,8.2
590,Mass Effect 3,PC,5.7
591,Dark Souls: Artorias of the Abyss,X360,8.6
592,The Walking Dead: Episode 5 - No Time Left,X360,8.8
593,Colors! 3D,3DS,7.8
594,Dishonored,X360,7.9
595,Pinball FX 2: Marvel Pinball - Avengers Chronicles,X360,7.5
596,Zero Escape: Virtue's Last Reward,3DS,8.8
597,Far Cry 3,PC,8.3
598,Rayman Origins,PSV,8.4
599,Torchlight II,PC,8.5
600,Fight Night Champion,PS3,7.3
601,God of War: Origins Collection,PS3,8.5
602,Top Spin 4,X360,8.2
603,Battlefield 3,X360,7.5
604,Outland,X360,7.4
605,Super Street Fighter IV: Arcade Edition,PC,7.7
606,Football Manager 2012,PC,7.9
607,Unity of Command,PC,7.1
608,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,7.3
609,Resident Evil 4 HD,PS3,8.5
610,DiRT 4,XOne,6.6
611,Guilty Gear Xrd: Rev 2,PS4,7.9
612,Forza Motorsport 7,XOne,5.9
613,Sonic Mania,NS,8.8
614,Injustice 2,PC,7.7
615,Thumper,NS,7.7
616,Metroid: Samus Returns,3DS,8.9
617,Dragon Quest VIII: Journey of the Cursed King,3DS,8.7
618,Pillars of Eternity: Complete Edition,PS4,7.7
619,Ratchet & Clank,PS4,8.6
620,MLB The Show 16,PS4,7.2
621,The Last Door: Season 2,PC,7.3
622,Chime Sharp,PC,4.8
623,FIFA 17,PS4,4.9
624,DOOM,PC,8.4
625,Gone Home: Console Edition,PS4,4.5
626,Valkyria Chronicles Remastered,PS4,8.2
627,Ori and the Blind Forest,PC,8.7
628,Bloodborne: The Old Hunters,PS4,9.3
629,Oddworld: Abe's Oddysee - New 'n' Tasty,PC,7.7
630,Crypt of the NecroDancer,PC,7.7
631,Batman: Arkham Knight,PS4,7.8
632,Forza Motorsport 6,XOne,7.7
633,Skylanders SuperChargers,WiiU,5.7
634,3D Sonic the Hedgehog 2,3DS,8.4
635,Pro Evolution Soccer 2016,PS4,7.2
636,3D Out Run,3DS,8.3
637,Dark Souls II: Scholar of the First Sin,PS4,8
638,NBA 2K16,PS4,6.7
639,Thirty Flights of Loving,PC,5
640,The Witcher 2: Assassins of Kings,X360,8.3
641,The Walking Dead: Episode 3 - Long Road Ahead,X360,8.3
642,Diablo III,PC,4.1
643,LittleBigPlanet PS Vita,PSV,8.6
644,FIFA Soccer 13,PS3,6.6
645,The Walking Dead: Episode 5 - No Time Left,PS3,8.7
646,NBA 2K13,X360,7.3
647,Halo 4,X360,7
648,La-Mulana,Wii,8.2
649,Max Payne 3,PS3,7.8
650,Killzone 3,PS3,8
651,Stacking,X360,8.1
652,F1 2011,X360,7.1
653,Mortal Kombat,PS3,8.4
654,Paradigm,PC,7.3
655,Battlerite,PC,7.5
